10 
101.47855 0.0155759 0.00327717 -0.0624751 -0.098376 0.0619497 0.0349421 -0.0609442 0.0707272 0.0702857
0.0155759 1.3099 0.0241196 -0.0192326 -0.0118702 0.0210478 -0.0801346 -0.0540485 -0.0364261 0.0474482
0.00327717 0.0241196 1.34076 0.0103384 0.0492722 -0.0375804 0.0829087 0.0633585 0.0457222 0.0241866
-0.0624751 -0.0192326 0.0103384 1.41229 -0.0714183 -0.0441123 -0.0562584 0.0566879 0.0755136 0.0162528
-0.098376 -0.0118702 0.0492722 -0.0714183 1.49008 0.088638 -0.0089105 -0.08047 -0.0738371 -0.00728645
0.0619497 0.0210478 -0.0375804 -0.0441123 0.088638 1.47989 0.0814796 0.061105 0.0317694 0.0522069
0.0349421 -0.0801346 0.0829087 -0.0562584 -0.0089105 0.0814796 1.48716 0.0313907 -0.044111 -0.0670258
-0.0609442 -0.0540485 0.0633585 0.0566879 -0.08047 0.061105 0.0313907 1.56542 -0.0804795 0.0769368
0.0707272 -0.0364261 0.0457222 0.0755136 -0.0738371 0.0317694 -0.044111 -0.0804795 1.50575 -0.0471604
0.0702857 0.0474482 0.0241866 0.0162528 -0.00728645 0.0522069 -0.0670258 0.0769368 -0.0471604 1.40879

0.732382 0.63468 4.27027 4.54173 5.0029 9.20818 8.47525 11.4213 10.9386 12.8147
